Site_year,Treatment,Tank,meanTemp_hold,Type,Site_year_tank,meanTemp_hold_corr
Reef21550-20Jan_2021,+3C,8,30.5363,HOBO,Reef21550-20Jan_2021_8,30.5363
Reef21550-20Jan_2021,+3C,10,30.82304444,HOBO,Reef21550-20Jan_2021_10,30.82304444
Reef21550-20Jan_2021,+3C,14,30.59535556,HOBO,Reef21550-20Jan_2021_14,30.59535556
Reef21550-20Jan_2021,+6C,2,32.7,HOBO,Reef21550-20Jan_2021_2,32.7
Reef21550-20Jan_2021,+6C,4,33.25166667,HOBO,Reef21550-20Jan_2021_4,33.25166667
Reef21550-20Jan_2021,+6C,11,33.37282778,HOBO,Reef21550-20Jan_2021_11,33.37282778
Reef21550-20Jan_2021,+9C,1,35.62971667,HOBO,Reef21550-20Jan_2021_1,35.62971667
Reef21550-20Jan_2021,+9C,3,35.70653889,HOBO,Reef21550-20Jan_2021_3,35.70653889
Reef21550-20Jan_2021,+9C,12,35.57804444,HOBO,Reef21550-20Jan_2021_12,35.57804444
Reef21550-20Jan_2021,MMM,7,27.95862222,HOBO,Reef21550-20Jan_2021_7,27.95862222
Reef21550-20Jan_2021,MMM,9,28.28357778,HOBO,Reef21550-20Jan_2021_9,28.28357778
Reef21550-20Jan_2021,MMM,13,29.12600556,HOBO,Reef21550-20Jan_2021_13,29.12600556
Reef21550-21Jan_2021,+3C,8,30.54076667,HOBO,Reef21550-21Jan_2021_8,30.54076667
Reef21550-21Jan_2021,+3C,10,30.59926111,HOBO,Reef21550-21Jan_2021_10,30.59926111
Reef21550-21Jan_2021,+3C,14,30.48730556,HOBO,Reef21550-21Jan_2021_14,30.48730556
Reef21550-21Jan_2021,+6C,2,32.02327222,HOBO,Reef21550-21Jan_2021_2,32.02327222
Reef21550-21Jan_2021,+6C,4,32.31438333,HOBO,Reef21550-21Jan_2021_4,32.31438333
Reef21550-21Jan_2021,+6C,11,32.54895,HOBO,Reef21550-21Jan_2021_11,32.54895
Reef21550-21Jan_2021,+9C,1,32.57542222,HOBO,Reef21550-21Jan_2021_1,32.57542222
Reef21550-21Jan_2021,+9C,3,32.48959444,HOBO,Reef21550-21Jan_2021_3,32.48959444
Reef21550-21Jan_2021,+9C,12,32.80158889,HOBO,Reef21550-21Jan_2021_12,32.80158889
Reef21550-21Jan_2021,MMM,7,27.80271111,HOBO,Reef21550-21Jan_2021_7,27.80271111
Reef21550-21Jan_2021,MMM,9,27.89855,HOBO,Reef21550-21Jan_2021_9,27.89855
Reef21550-21Jan_2021,MMM,13,28.11883333,HOBO,Reef21550-21Jan_2021_13,28.11883333
EastCay-22Jan_2021,+3C,8,30.54127778,HOBO,EastCay-22Jan_2021_8,30.54127778
EastCay-22Jan_2021,+3C,10,30.71042778,HOBO,EastCay-22Jan_2021_10,30.71042778
EastCay-22Jan_2021,+3C,14,30.66385,HOBO,EastCay-22Jan_2021_14,30.66385
EastCay-22Jan_2021,+6C,2,32.42165,HOBO,EastCay-22Jan_2021_2,32.42165
EastCay-22Jan_2021,+6C,4,32.36365,HOBO,EastCay-22Jan_2021_4,32.36365
EastCay-22Jan_2021,+6C,11,32.75315556,HOBO,EastCay-22Jan_2021_11,32.75315556
EastCay-22Jan_2021,+9C,1,35.46320556,HOBO,EastCay-22Jan_2021_1,35.46320556
EastCay-22Jan_2021,+9C,3,35.12818333,HOBO,EastCay-22Jan_2021_3,35.12818333
EastCay-22Jan_2021,+9C,12,35.34257778,HOBO,EastCay-22Jan_2021_12,35.34257778
EastCay-22Jan_2021,MMM,7,27.74792778,HOBO,EastCay-22Jan_2021_7,27.74792778
EastCay-22Jan_2021,MMM,9,27.84392222,HOBO,EastCay-22Jan_2021_9,27.84392222
EastCay-22Jan_2021,MMM,13,28.14521667,HOBO,EastCay-22Jan_2021_13,28.14521667
EastCay-23Jan_2021,+3C,8,30.49505,HOBO,EastCay-23Jan_2021_8,30.49505
EastCay-23Jan_2021,+3C,10,30.64676111,HOBO,EastCay-23Jan_2021_10,30.64676111
EastCay-23Jan_2021,+3C,14,30.53236111,HOBO,EastCay-23Jan_2021_14,30.53236111
EastCay-23Jan_2021,+6C,2,33.13897778,HOBO,EastCay-23Jan_2021_2,33.13897778
EastCay-23Jan_2021,+6C,4,33.1312,HOBO,EastCay-23Jan_2021_4,33.1312
EastCay-23Jan_2021,+6C,11,33.3798,HOBO,EastCay-23Jan_2021_11,33.3798
EastCay-23Jan_2021,+9C,1,35.23958889,HOBO,EastCay-23Jan_2021_1,35.23958889
EastCay-23Jan_2021,+9C,3,35.83073889,HOBO,EastCay-23Jan_2021_3,35.83073889
EastCay-23Jan_2021,+9C,12,35.82495,HOBO,EastCay-23Jan_2021_12,35.82495
EastCay-23Jan_2021,MMM,7,27.75605556,HOBO,EastCay-23Jan_2021_7,27.75605556
EastCay-23Jan_2021,MMM,9,27.91138333,HOBO,EastCay-23Jan_2021_9,27.91138333
EastCay-23Jan_2021,MMM,13,28.07755556,HOBO,EastCay-23Jan_2021_13,28.07755556
LadyMusgrave_2021,+3C,8,29.68312222,HOBO,LadyMusgrave_2021_8,29.68312222
LadyMusgrave_2021,+3C,10,29.75627778,HOBO,LadyMusgrave_2021_10,29.75627778
LadyMusgrave_2021,+3C,14,29.79075556,HOBO,LadyMusgrave_2021_14,29.79075556
LadyMusgrave_2021,+6C,2,32.557,HOBO,LadyMusgrave_2021_2,32.557
LadyMusgrave_2021,+6C,4,32.69182778,HOBO,LadyMusgrave_2021_4,32.69182778
LadyMusgrave_2021,+6C,11,32.53136111,HOBO,LadyMusgrave_2021_11,32.53136111
LadyMusgrave_2021,+9C,1,34.74768889,HOBO,LadyMusgrave_2021_1,34.74768889
LadyMusgrave_2021,+9C,3,34.70883333,HOBO,LadyMusgrave_2021_3,34.70883333
LadyMusgrave_2021,+9C,12,34.68498889,HOBO,LadyMusgrave_2021_12,34.68498889
LadyMusgrave_2021,MMM,7,27.76711667,HOBO,LadyMusgrave_2021_7,27.76711667
LadyMusgrave_2021,MMM,9,27.62539444,HOBO,LadyMusgrave_2021_9,27.62539444
LadyMusgrave_2021,MMM,13,28.41706111,HOBO,LadyMusgrave_2021_13,28.41706111
Sykes_2021,+3C,8,29.96133889,HOBO,Sykes_2021_8,29.96133889
Sykes_2021,+3C,10,30.10562778,HOBO,Sykes_2021_10,30.10562778
Sykes_2021,+3C,14,30.08021111,HOBO,Sykes_2021_14,30.08021111
Sykes_2021,+6C,2,32.77286111,HOBO,Sykes_2021_2,32.77286111
Sykes_2021,+6C,4,32.94943889,HOBO,Sykes_2021_4,32.94943889
Sykes_2021,+6C,11,32.99439444,HOBO,Sykes_2021_11,32.99439444
Sykes_2021,+9C,1,35.04638333,HOBO,Sykes_2021_1,35.04638333
Sykes_2021,+9C,3,35.24131667,HOBO,Sykes_2021_3,35.24131667
Sykes_2021,+9C,12,35.30772222,HOBO,Sykes_2021_12,35.30772222
Sykes_2021,MMM,7,27.67418333,HOBO,Sykes_2021_7,27.67418333
Sykes_2021,MMM,9,27.72597222,HOBO,Sykes_2021_9,27.72597222
Sykes_2021,MMM,13,27.71102778,HOBO,Sykes_2021_13,27.71102778
NorthDirection-24March_2021,+3C,8,31.71324022,HOBO,NorthDirection-24March_2021_8,31.71324022
NorthDirection-24March_2021,+3C,10,31.62127374,HOBO,NorthDirection-24March_2021_10,31.62127374
NorthDirection-24March_2021,+3C,14,31.76172626,HOBO,NorthDirection-24March_2021_14,31.76172626
NorthDirection-24March_2021,+6C,2,34.87155307,HOBO,NorthDirection-24March_2021_2,34.87155307
NorthDirection-24March_2021,+6C,4,34.83631285,HOBO,NorthDirection-24March_2021_4,34.83631285
NorthDirection-24March_2021,+6C,11,34.42957542,HOBO,NorthDirection-24March_2021_11,34.42957542
NorthDirection-24March_2021,+9C,1,37.67645251,HOBO,NorthDirection-24March_2021_1,37.67645251
NorthDirection-24March_2021,+9C,3,37.73458101,HOBO,NorthDirection-24March_2021_3,37.73458101
NorthDirection-24March_2021,+9C,12,37.29422905,HOBO,NorthDirection-24March_2021_12,37.29422905
NorthDirection-24March_2021,MMM,7,29.77659218,HOBO,NorthDirection-24March_2021_7,29.77659218
NorthDirection-24March_2021,MMM,9,29.63231844,HOBO,NorthDirection-24March_2021_9,29.63231844
NorthDirection-24March_2021,MMM,13,29.7423743,HOBO,NorthDirection-24March_2021_13,29.7423743
NoName_2021,+3C,8,31.70085475,HOBO,NoName_2021_8,31.70085475
NoName_2021,+3C,10,31.64387709,HOBO,NoName_2021_10,31.64387709
NoName_2021,+3C,14,31.71631285,HOBO,NoName_2021_14,31.71631285
NoName_2021,+6C,2,34.14062011,HOBO,NoName_2021_2,34.14062011
NoName_2021,+6C,4,34.24050838,HOBO,NoName_2021_4,34.24050838
NoName_2021,+6C,11,34.22244134,HOBO,NoName_2021_11,34.22244134
NoName_2021,+9C,1,37.33535196,HOBO,NoName_2021_1,37.33535196
NoName_2021,+9C,3,37.65219553,HOBO,NoName_2021_3,37.65219553
NoName_2021,+9C,12,37.48814525,HOBO,NoName_2021_12,37.48814525
NoName_2021,MMM,7,29.13636872,HOBO,NoName_2021_7,29.13636872
NoName_2021,MMM,9,29.13608939,HOBO,NoName_2021_9,29.13608939
NoName_2021,MMM,13,29.2732514,HOBO,NoName_2021_13,29.2732514
Martin_2021,+3C,8,31.58939106,HOBO,Martin_2021_8,31.58939106
Martin_2021,+3C,10,31.49655307,HOBO,Martin_2021_10,31.49655307
Martin_2021,+3C,14,31.29458101,HOBO,Martin_2021_14,31.29458101
Martin_2021,+6C,2,33.82150279,HOBO,Martin_2021_2,33.82150279
Martin_2021,+6C,4,33.77770391,HOBO,Martin_2021_4,33.77770391
Martin_2021,+6C,11,33.60501676,HOBO,Martin_2021_11,33.60501676
Martin_2021,+9C,1,37.49040223,HOBO,Martin_2021_1,37.49040223
Martin_2021,+9C,3,37.50411173,HOBO,Martin_2021_3,37.50411173
Martin_2021,+9C,12,37.30707821,HOBO,Martin_2021_12,37.30707821
Martin_2021,MMM,7,28.7455419,HOBO,Martin_2021_7,28.7455419
Martin_2021,MMM,9,28.7353743,HOBO,Martin_2021_9,28.7353743
Martin_2021,MMM,13,28.73273184,HOBO,Martin_2021_13,28.73273184
StCrispin-30Mar_2021,+3C,8,31.72797207,HOBO,StCrispin-30Mar_2021_8,31.72797207
StCrispin-30Mar_2021,+3C,10,31.68511732,HOBO,StCrispin-30Mar_2021_10,31.68511732
StCrispin-30Mar_2021,+3C,14,31.54487151,HOBO,StCrispin-30Mar_2021_14,31.54487151
StCrispin-30Mar_2021,+6C,2,33.10702235,HOBO,StCrispin-30Mar_2021_2,33.10702235
StCrispin-30Mar_2021,+6C,4,32.90692737,HOBO,StCrispin-30Mar_2021_4,32.90692737
StCrispin-30Mar_2021,+6C,11,32.80890503,HOBO,StCrispin-30Mar_2021_11,32.80890503
StCrispin-30Mar_2021,+9C,1,37.60034078,HOBO,StCrispin-30Mar_2021_1,37.60034078
StCrispin-30Mar_2021,+9C,3,37.48785475,HOBO,StCrispin-30Mar_2021_3,37.48785475
StCrispin-30Mar_2021,+9C,12,37.59768715,HOBO,StCrispin-30Mar_2021_12,37.59768715
StCrispin-30Mar_2021,MMM,7,28.85618436,HOBO,StCrispin-30Mar_2021_7,28.85618436
StCrispin-30Mar_2021,MMM,9,28.79812291,HOBO,StCrispin-30Mar_2021_9,28.79812291
StCrispin-30Mar_2021,MMM,13,28.93734637,HOBO,StCrispin-30Mar_2021_13,28.93734637
Chicken_2021,+3C,8,30.5647933,HOBO,Chicken_2021_8,30.5647933
Chicken_2021,+3C,10,30.57555307,HOBO,Chicken_2021_10,30.57555307
Chicken_2021,+3C,14,30.61889944,HOBO,Chicken_2021_14,30.61889944
Chicken_2021,+6C,2,32.73353073,HOBO,Chicken_2021_2,32.73353073
Chicken_2021,+6C,4,32.71138547,HOBO,Chicken_2021_4,32.71138547
Chicken_2021,+6C,11,32.65173743,HOBO,Chicken_2021_11,32.65173743
Chicken_2021,+9C,1,35.83767039,HOBO,Chicken_2021_1,35.83767039
Chicken_2021,+9C,3,35.75356983,HOBO,Chicken_2021_3,35.75356983
Chicken_2021,+9C,12,35.73073743,HOBO,Chicken_2021_12,35.73073743
Chicken_2021,MMM,7,28.55036872,HOBO,Chicken_2021_7,28.55036872
Chicken_2021,MMM,9,28.51342458,HOBO,Chicken_2021_9,28.51342458
Chicken_2021,MMM,13,28.68712291,HOBO,Chicken_2021_13,28.68712291
Davies_2021,+3C,10,30.03888889,Probe,Davies_2021_10,30.23388889
Davies_2021,+3C,14,29.80222222,Probe,Davies_2021_14,29.99722222
Davies_2021,+3C,8,30.07222222,Probe,Davies_2021_8,30.26722222
Davies_2021,+6C,11,31.57555556,Probe,Davies_2021_11,31.77055556
Davies_2021,+6C,2,31.59,Probe,Davies_2021_2,31.785
Davies_2021,+6C,4,31.59277778,Probe,Davies_2021_4,31.78777778
Davies_2021,+9C,1,35.09333333,Probe,Davies_2021_1,35.28833333
Davies_2021,+9C,3,35.03055556,Probe,Davies_2021_3,35.22555556
Davies_2021,+9C,12,35.06194445,Missing,Davies_2021_12,35.25694445
Davies_2021,MMM,13,28.27,Probe,Davies_2021_13,28.465
Davies_2021,MMM,7,28.33055556,Probe,Davies_2021_7,28.52555556
Davies_2021,MMM,9,28.34444444,Probe,Davies_2021_9,28.53944444
Fitzroy_2021,+3C,10,31.54333333,Probe,Fitzroy_2021_10,31.73833333
Fitzroy_2021,+3C,14,31.53444444,Probe,Fitzroy_2021_14,31.72944444
Fitzroy_2021,+3C,8,31.52611111,Probe,Fitzroy_2021_8,31.72111111
Fitzroy_2021,+6C,16,34.11944444,Probe,Fitzroy_2021_16,34.31444444
Fitzroy_2021,+6C,2,34.05277778,Probe,Fitzroy_2021_2,34.24777778
Fitzroy_2021,+6C,4,34.07444444,Probe,Fitzroy_2021_4,34.26944444
Fitzroy_2021,+9C,1,37.67888889,Probe,Fitzroy_2021_1,37.87388889
Fitzroy_2021,+9C,15,37.90166667,Probe,Fitzroy_2021_15,38.09666667
Fitzroy_2021,+9C,3,37.67111111,Probe,Fitzroy_2021_3,37.86611111
Fitzroy_2021,MMM,13,28.95888889,Probe,Fitzroy_2021_13,29.15388889
Fitzroy_2021,MMM,7,28.91944444,Probe,Fitzroy_2021_7,29.11444444
Fitzroy_2021,MMM,9,28.89555556,Probe,Fitzroy_2021_9,29.09055556
Heron_2022,+3C,5,30.20522124,Probe,Heron_2022_5,30.40022124
Heron_2022,+3C,7,30.2640708,Probe,Heron_2022_7,30.4590708
Heron_2022,+3C,9,30.03619469,Probe,Heron_2022_9,30.23119469
Heron_2022,+6C,10,32.82716814,Probe,Heron_2022_10,33.02216814
Heron_2022,+6C,13,33.19247788,Probe,Heron_2022_13,33.38747788
Heron_2022,+6C,3,33.33619469,Probe,Heron_2022_3,33.53119469
Heron_2022,+9C,12,35.6999115,Probe,Heron_2022_12,35.8949115
Heron_2022,+9C,16,35.84026549,Probe,Heron_2022_16,36.03526549
Heron_2022,+9C,6,36.29876106,Probe,Heron_2022_6,36.49376106
Heron_2022,MMM,11,27.78982301,Probe,Heron_2022_11,27.98482301
Heron_2022,MMM,4,27.78309735,Probe,Heron_2022_4,27.97809735
Heron_2022,MMM,8,27.85035398,Probe,Heron_2022_8,28.04535398
Hicks-20March_2021,+3C,10,31.40555556,Probe,Hicks-20March_2021_10,31.60055556
Hicks-20March_2021,+3C,14,31.52666667,Probe,Hicks-20March_2021_14,31.72166667
Hicks-20March_2021,+3C,8,30.85111111,Probe,Hicks-20March_2021_8,31.04611111
Hicks-20March_2021,+6C,11,34.23277778,Probe,Hicks-20March_2021_11,34.42777778
Hicks-20March_2021,+6C,2,33.19277778,Probe,Hicks-20March_2021_2,33.38777778
Hicks-20March_2021,+6C,4,33.69666667,Probe,Hicks-20March_2021_4,33.89166667
Hicks-20March_2021,+9C,1,36.76944444,Probe,Hicks-20March_2021_1,36.96444444
Hicks-20March_2021,+9C,12,37.53611111,Probe,Hicks-20March_2021_12,37.73111111
Hicks-20March_2021,+9C,3,37.53333333,Probe,Hicks-20March_2021_3,37.72833333
Hicks-20March_2021,MMM,13,28.47555556,Probe,Hicks-20March_2021_13,28.67055556
Hicks-20March_2021,MMM,7,28.82888889,Probe,Hicks-20March_2021_7,29.02388889
Hicks-20March_2021,MMM,9,29.23333333,Probe,Hicks-20March_2021_9,29.42833333
Hicks-21March_2021,+3C,10,31.68944444,Probe,Hicks-21March_2021_10,31.88444444
Hicks-21March_2021,+3C,14,31.59888889,Probe,Hicks-21March_2021_14,31.79388889
Hicks-21March_2021,+3C,8,31.37111111,Probe,Hicks-21March_2021_8,31.56611111
Hicks-21March_2021,+6C,11,34.62944444,Probe,Hicks-21March_2021_11,34.82444444
Hicks-21March_2021,+6C,2,34.41777778,Probe,Hicks-21March_2021_2,34.61277778
Hicks-21March_2021,+6C,4,34.18611111,Probe,Hicks-21March_2021_4,34.38111111
Hicks-21March_2021,+9C,1,37.36388889,Probe,Hicks-21March_2021_1,37.55888889
Hicks-21March_2021,+9C,12,37.44833333,Probe,Hicks-21March_2021_12,37.64333333
Hicks-21March_2021,+9C,3,37.28333333,Probe,Hicks-21March_2021_3,37.47833333
Hicks-21March_2021,MMM,13,29.41388889,Probe,Hicks-21March_2021_13,29.60888889
Hicks-21March_2021,MMM,7,29.41722222,Probe,Hicks-21March_2021_7,29.61222222
Hicks-21March_2021,MMM,9,29.31444444,Probe,Hicks-21March_2021_9,29.50944444
Kelso_2021,+3C,10,30.73833333,Probe,Kelso_2021_10,30.93333333
Kelso_2021,+3C,14,30.89833333,Probe,Kelso_2021_14,31.09333333
Kelso_2021,+3C,8,30.70166667,Probe,Kelso_2021_8,30.89666667
Kelso_2021,+6C,11,32.45055556,Probe,Kelso_2021_11,32.64555556
Kelso_2021,+6C,2,32.62333333,Probe,Kelso_2021_2,32.81833333
Kelso_2021,+6C,4,32.63055556,Probe,Kelso_2021_4,32.82555556
Kelso_2021,+9C,1,36.30166667,Probe,Kelso_2021_1,36.49666667
Kelso_2021,+9C,12,36.035,Probe,Kelso_2021_12,36.23
Kelso_2021,+9C,3,36.26166667,Probe,Kelso_2021_3,36.45666667
Kelso_2021,MMM,13,28.87333333,Probe,Kelso_2021_13,29.06833333
Kelso_2021,MMM,7,28.74722222,Probe,Kelso_2021_7,28.94222222
Kelso_2021,MMM,9,28.72111111,Probe,Kelso_2021_9,28.91611111
LadyMusgrave_2022,+3C,5,30.24777778,Probe,LadyMusgrave_2022_5,30.44277778
LadyMusgrave_2022,+3C,7,30.24222222,Probe,LadyMusgrave_2022_7,30.43722222
LadyMusgrave_2022,+3C,9,30.02111111,Probe,LadyMusgrave_2022_9,30.21611111
LadyMusgrave_2022,+6C,10,32.88833333,Probe,LadyMusgrave_2022_10,33.08333333
LadyMusgrave_2022,+6C,13,33.18944444,Probe,LadyMusgrave_2022_13,33.38444444
LadyMusgrave_2022,+6C,3,33.31444444,Probe,LadyMusgrave_2022_3,33.50944444
LadyMusgrave_2022,+9C,12,35.63333333,Probe,LadyMusgrave_2022_12,35.82833333
LadyMusgrave_2022,+9C,16,35.77277778,Probe,LadyMusgrave_2022_16,35.96777778
LadyMusgrave_2022,+9C,6,36.12222222,Probe,LadyMusgrave_2022_6,36.31722222
LadyMusgrave_2022,MMM,11,27.65277778,Probe,LadyMusgrave_2022_11,27.84777778
LadyMusgrave_2022,MMM,4,27.62388889,Probe,LadyMusgrave_2022_4,27.81888889
LadyMusgrave_2022,MMM,8,27.69333333,Probe,LadyMusgrave_2022_8,27.88833333
Mackay_2021,+3C,10,31.065,Probe,Mackay_2021_10,31.26
Mackay_2021,+3C,14,31.10611111,Probe,Mackay_2021_14,31.30111111
Mackay_2021,+3C,8,31.05833333,Probe,Mackay_2021_8,31.25333333
Mackay_2021,+6C,11,32.82222222,Probe,Mackay_2021_11,33.01722222
Mackay_2021,+6C,2,32.81611111,Probe,Mackay_2021_2,33.01111111
Mackay_2021,+6C,4,32.81888889,Probe,Mackay_2021_4,33.01388889
Mackay_2021,+9C,1,37.10777778,Probe,Mackay_2021_1,37.30277778
Mackay_2021,+9C,12,37.11333333,Probe,Mackay_2021_12,37.30833333
Mackay_2021,+9C,3,37.27,Probe,Mackay_2021_3,37.465
Mackay_2021,MMM,13,29.00722222,Probe,Mackay_2021_13,29.20222222
Mackay_2021,MMM,7,28.84888889,Probe,Mackay_2021_7,29.04388889
Mackay_2021,MMM,9,28.88222222,Probe,Mackay_2021_9,29.07722222
Mackay_2022,+3C,10,31.87222222,Probe,Mackay_2022_10,32.06722222
Mackay_2022,+3C,13,31.835,Probe,Mackay_2022_13,32.03
Mackay_2022,+3C,3,31.93722222,Probe,Mackay_2022_3,32.13222222
Mackay_2022,+6C,5,33.44277778,Probe,Mackay_2022_5,33.63777778
Mackay_2022,+6C,7,34.09277778,Probe,Mackay_2022_7,34.28777778
Mackay_2022,+6C,9,33.80833333,Probe,Mackay_2022_9,34.00333333
Mackay_2022,+9C,11,37.63055556,Probe,Mackay_2022_11,37.82555556
Mackay_2022,+9C,4,37.63055556,Probe,Mackay_2022_4,37.82555556
Mackay_2022,+9C,8,37.63055556,Probe,Mackay_2022_8,37.82555556
Mackay_2022,MMM,12,28.86814815,Probe,Mackay_2022_12,29.06314815
Mackay_2022,MMM,16,28.86814815,Probe,Mackay_2022_16,29.06314815
Mackay_2022,MMM,6,28.86814815,Probe,Mackay_2022_6,29.06314815
Moore_2021,+3C,10,31.54555556,Probe,Moore_2021_10,31.74055556
Moore_2021,+3C,14,31.64666667,Probe,Moore_2021_14,31.84166667
Moore_2021,+3C,8,31.50833333,Probe,Moore_2021_8,31.70333333
Moore_2021,+6C,16,33.85166667,Probe,Moore_2021_16,34.04666667
Moore_2021,+6C,2,33.84388889,Probe,Moore_2021_2,34.03888889
Moore_2021,+6C,4,33.79222222,Probe,Moore_2021_4,33.98722222
Moore_2021,+9C,1,37.71833333,Probe,Moore_2021_1,37.91333333
Moore_2021,+9C,15,38.03555556,Probe,Moore_2021_15,38.23055556
Moore_2021,+9C,3,37.65611111,Probe,Moore_2021_3,37.85111111
Moore_2021,MMM,13,29.08388889,Probe,Moore_2021_13,29.27888889
Moore_2021,MMM,7,29.06222222,Probe,Moore_2021_7,29.25722222
Moore_2021,MMM,9,28.95722222,Probe,Moore_2021_9,29.15222222
NorthDirection-23March_2021,+3C,10,31.83888889,Probe,NorthDirection-23March_2021_10,32.03388889
NorthDirection-23March_2021,+3C,14,31.46111111,Probe,NorthDirection-23March_2021_14,31.65611111
NorthDirection-23March_2021,+3C,8,31.34888889,Probe,NorthDirection-23March_2021_8,31.54388889
NorthDirection-23March_2021,+6C,11,34.71611111,Probe,NorthDirection-23March_2021_11,34.91111111
NorthDirection-23March_2021,+6C,2,34.50555556,Probe,NorthDirection-23March_2021_2,34.70055556
NorthDirection-23March_2021,+6C,4,34.2,Probe,NorthDirection-23March_2021_4,34.395
NorthDirection-23March_2021,+9C,1,37.43555556,Probe,NorthDirection-23March_2021_1,37.63055556
NorthDirection-23March_2021,+9C,12,37.43777778,Probe,NorthDirection-23March_2021_12,37.63277778
NorthDirection-23March_2021,+9C,3,37.21666667,Probe,NorthDirection-23March_2021_3,37.41166667
NorthDirection-23March_2021,MMM,13,29.38111111,Probe,NorthDirection-23March_2021_13,29.57611111
NorthDirection-23March_2021,MMM,7,29.62,Probe,NorthDirection-23March_2021_7,29.815
NorthDirection-23March_2021,MMM,9,29.29944444,Probe,NorthDirection-23March_2021_9,29.49444444
Pelorus_2021,+3C,10,30.66277778,Probe,Pelorus_2021_10,30.85777778
Pelorus_2021,+3C,14,30.61444444,Probe,Pelorus_2021_14,30.80944444
Pelorus_2021,+3C,8,30.755,Probe,Pelorus_2021_8,30.95
Pelorus_2021,+6C,11,32.50722222,Probe,Pelorus_2021_11,32.70222222
Pelorus_2021,+6C,2,32.785,Probe,Pelorus_2021_2,32.98
Pelorus_2021,+6C,4,32.79444444,Probe,Pelorus_2021_4,32.98944444
Pelorus_2021,+9C,1,36.42944444,Probe,Pelorus_2021_1,36.62444444
Pelorus_2021,+9C,12,36.32666667,Probe,Pelorus_2021_12,36.52166667
Pelorus_2021,+9C,3,36.57944444,Probe,Pelorus_2021_3,36.77444444
Pelorus_2021,MMM,13,28.78333333,Probe,Pelorus_2021_13,28.97833333
Pelorus_2021,MMM,7,28.82833333,Probe,Pelorus_2021_7,29.02333333
Pelorus_2021,MMM,9,28.78333333,Probe,Pelorus_2021_9,28.97833333
StCrispin-15April_2021,+3C,10,31.475,Probe,StCrispin-15April_2021_10,31.67
StCrispin-15April_2021,+3C,14,31.51333333,Probe,StCrispin-15April_2021_14,31.70833333
StCrispin-15April_2021,+3C,8,31.10666667,Probe,StCrispin-15April_2021_8,31.30166667
StCrispin-15April_2021,+6C,11,33.69944444,Probe,StCrispin-15April_2021_11,33.89444444
StCrispin-15April_2021,+6C,2,33.45777778,Probe,StCrispin-15April_2021_2,33.65277778
StCrispin-15April_2021,+6C,4,33.45222222,Probe,StCrispin-15April_2021_4,33.64722222
StCrispin-15April_2021,+9C,1,37.07722222,Probe,StCrispin-15April_2021_1,37.27222222
StCrispin-15April_2021,+9C,12,36.75555556,Probe,StCrispin-15April_2021_12,36.95055556
StCrispin-15April_2021,+9C,3,37.01833333,Probe,StCrispin-15April_2021_3,37.21333333
StCrispin-15April_2021,MMM,13,29.12944444,Probe,StCrispin-15April_2021_13,29.32444444
StCrispin-15April_2021,MMM,7,28.72444444,Probe,StCrispin-15April_2021_7,28.91944444
StCrispin-15April_2021,MMM,9,28.89944444,Probe,StCrispin-15April_2021_9,29.09444444