Site.name,Lat,Lon,MMM.,Km_to_coastline,Subregion,Shelf pos,Region
No Name,-14.6508,145.6383,28.57,45.102,Cooktown,Outer,North
North Direction,-14.7434,145.5133,28.56,28.477,Cooktown,Mid,North
Martin,-14.7801,145.3681,28.63,16.686,Cooktown,Inshore,North
Mackay,-16.0384,145.6514,28.79,20.37,Cairns,Inshore,North
St Crispin,-16.0724,145.8449,28.68,40.914,Cairns,Outer,North
Moore,-16.8457,146.2316,28.65,29.548,Cairns,Mid,North
Fitzroy Island,-16.9406,145.9948,28.77,5.782,Cairns,Inshore,North
Kelso,-18.424,146.9849,28.45,47.579,Innisfail/Townsville,Mid,Central
Pelorus,-18.5587,146.5023,28.74,16.014,Innisfail/Townsville,Inshore,Central
Chicken,-18.6706,147.7064,28.37,77.065,Townsville,Outer,Central
Davies,-18.827,147.6268,28.38,57.833,Townsville,Mid,Central
Heron,-23.441601,151.912971,27.12,64.431,Capricorn Bunker,Outer,South
Fitzroy Reef,-23.617,152.15,27.09,58.613,Capricorn Bunker,Outer,South
Lady Musgrave,-23.8929,152.4064,27.1,58.827,Capricorn Bunker,Outer,South
Hicks,-14.4735,145.5046,28.58,50.008,Cooktown,Outer,North
Hicks_2,-14.42887978,145.451713,28.58,51.033,Cooktown,Outer,North
East Cay,-21.496,152.556,27.7,107.672,Swains,Outer,South
Reef21550,-21.9455,152.3135,27.56,123.427,Swains,Outer,South
Sykes,-23.4459,152.0244,27.1,68.54,Capricorn Bunker,Outer,South